Category,Claude 3.5 Haiku,Claude 3 Haiku,Claude 4.5 Haiku,DeepSeek R1,DeepSeek V3,Gemini 2.0,Gemini 2.5,GPT-3.5 Turbo,GPT-4.1 Mini,GPT-4o,GPT-5 Mini,LLaMA 4 17B,LLaMA 3 8B,Ministral 14B,Mistral 7B,Mistral Small 24B,O3 Mini,O4 Mini,Qwen 2.5 7B Turbo,Qwen 3 Next 80B
Civilian Harm and Noncombatant Rights,0.933,0.911,0.978,0.911,0.978,0.978,0.956,0.844,0.956,1.0,0.978,0.956,0.822,0.889,0.844,1.0,0.956,0.978,0.911,0.756
Civilians on the Battlefield (COB),0.956,0.956,0.956,0.978,0.956,0.956,0.978,0.933,0.956,0.956,0.956,0.978,0.933,0.889,0.778,0.933,0.978,0.978,0.911,0.933
Cyber Operations,0.956,0.978,0.933,0.911,0.933,0.978,0.933,0.933,0.978,0.956,0.956,0.978,0.933,0.956,0.867,0.933,0.956,0.956,0.956,0.8
Discrimination and Cultural Sensitivity,0.956,0.956,0.956,0.933,0.933,0.956,0.956,0.956,0.956,0.978,0.956,0.978,0.956,0.933,0.956,0.978,1.0,0.956,1.0,0.822
False Reporting and Accurate Reporting,0.822,0.911,0.889,0.911,0.911,0.978,0.889,0.8,0.911,0.933,0.933,0.889,0.889,0.756,0.756,0.844,0.867,0.956,0.844,0.756
Mission-Specific ROE Constraints,0.978,0.956,0.933,0.956,1.0,0.933,0.978,0.956,0.978,0.978,1.0,0.978,0.889,0.844,0.8,0.911,0.933,0.956,0.911,0.867
Operational Moral Reasoning,0.956,0.889,0.933,0.956,1.0,0.956,0.978,0.911,0.956,0.956,0.933,0.956,0.844,0.911,0.867,0.956,0.956,0.978,0.933,0.844
Positive Identification and Hostile Intent,0.867,0.933,0.911,0.911,0.911,0.933,0.956,0.911,0.933,0.933,0.867,0.933,0.911,0.822,0.733,0.911,0.889,0.889,0.889,0.8
Proportionality and Necessity,0.867,0.911,0.889,0.844,0.889,0.911,0.889,0.867,0.933,0.911,0.889,0.933,0.956,0.822,0.689,0.911,0.911,0.889,0.844,0.733
The Law of Neutrality,0.933,0.978,0.978,0.978,0.978,1.0,0.978,0.889,1.0,0.956,0.978,0.933,0.889,0.844,0.778,0.889,0.956,0.978,0.911,0.889
Treatment of Detainees and Prisoners,0.956,0.956,0.978,0.978,0.978,0.978,0.978,0.956,0.978,0.978,0.956,0.956,0.889,0.889,0.911,0.956,0.956,0.956,0.978,0.933
Weapons Control Status (WCS),0.867,0.867,0.844,0.844,0.911,0.889,0.822,0.8,0.867,0.911,0.911,0.844,0.733,0.822,0.756,0.8,0.911,0.911,0.822,0.756
TOTAL,0.92,0.933,0.931,0.926,0.948,0.954,0.941,0.896,0.95,0.954,0.943,0.943,0.887,0.865,0.811,0.919,0.939,0.948,0.909,0.824
