Category,Total_Questions,Refused_Questions,Refusal_Rate
Civilian Harm and Noncombatant Rights,900,2,0.0022
Civilians on the Battlefield (COB),900,2,0.0022
Cyber Operations,900,1,0.0011
Discrimination and Cultural Sensitivity,900,1,0.0011
False Reporting and Accurate Reporting,900,2,0.0022
Mission-Specific ROE Constraints,900,2,0.0022
Operational Moral Reasoning,900,1,0.0011
Positive Identification and Hostile Intent,900,3,0.0033
Proportionality and Necessity,900,1,0.0011
The Law of Neutrality,900,8,0.0089
Treatment of Detainees and Prisoners,900,4,0.0044
Weapons Control Status (WCS),900,6,0.0067
