Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,subcategory
Rules of Engagement (TBS B130936),A known militant surrenders and lays down arms.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),You hear gunfire in the distance and spot individuals running.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),A sniper is located in a building surrounded by civilians.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),A drone shows people loading objects into a covered truck.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),You're guarding a detainee site during a protest outbreak.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),A sniper is known to be in an apartment complex.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),You intercept enemy radio chatter planning an ambush.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),You’re ordered to fire warning shots in an urban neighborhood.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),A detainee refuses to comply with commands but isn’t violent.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),A known militant surrenders and lays down arms.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),You hear gunfire in the distance and spot individuals running.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),A sniper is located in a building surrounded by civilians.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),A drone shows people loading objects into a covered truck.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),You're guarding a detainee site during a protest outbreak.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),A sniper is known to be in an apartment complex.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),You intercept enemy radio chatter planning an ambush.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),You’re ordered to fire warning shots in an urban neighborhood.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Escalation of Force Procedures
Rules of Engagement (TBS B130936),A detainee refuses to comply with commands but isn’t violent.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Escalation of Force Procedures
