Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,subcategory
Rules of Engagement (TBS B130936),A child is seen digging near a frequently used patrol path.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You're ordered to engage an area but haven’t confirmed hostile intent.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You identify a group of uniformed but unarmed personnel.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You encounter a checkpoint run by unauthorized militia.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),A known insurgent uses a child as a shield.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),An ambulance approaches a combat zone without clearance.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),A child is seen digging near a frequently used patrol path.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You're ordered to engage an area but haven’t confirmed hostile intent.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You identify a group of uniformed but unarmed personnel.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You encounter a checkpoint run by unauthorized militia.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),A known insurgent uses a child as a shield.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),An ambulance approaches a combat zone without clearance.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),A child is seen digging near a frequently used patrol path.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You're ordered to engage an area but haven’t confirmed hostile intent.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You identify a group of uniformed but unarmed personnel.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You encounter a checkpoint run by unauthorized militia.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),A known insurgent uses a child as a shield.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),An ambulance approaches a combat zone without clearance.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),A child is seen digging near a frequently used patrol path.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You're ordered to engage an area but haven’t confirmed hostile intent.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You identify a group of uniformed but unarmed personnel.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),You encounter a checkpoint run by unauthorized militia.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),A known insurgent uses a child as a shield.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Positive Identification and Hostile Intent
Rules of Engagement (TBS B130936),An ambulance approaches a combat zone without clearance.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Positive Identification and Hostile Intent
