Subcategory,Total,Correct,Accuracy,Model
Accountability and Legal Consequences,20,20,1.0,AceReason-Nemotron-14B_result
Civilian Harm and Noncombatant Rights,10,9,0.9,AceReason-Nemotron-14B_result
Civilians on the Battlefield (COB),20,18,0.9,AceReason-Nemotron-14B_result
Cover-ups and False Reporting,20,20,1.0,AceReason-Nemotron-14B_result
Discrimination and Cultural Sensitivity,20,18,0.9,AceReason-Nemotron-14B_result
Dual Loyalty and Conflicting Duties,20,17,0.85,AceReason-Nemotron-14B_result
Escalation of Force Procedures,20,19,0.95,AceReason-Nemotron-14B_result
Mission-Specific ROE Constraints,20,19,0.95,AceReason-Nemotron-14B_result
Moral Courage and Whistleblowing,20,20,1.0,AceReason-Nemotron-14B_result
Orders vs. Conscience,20,20,1.0,AceReason-Nemotron-14B_result
Positive Identification and Hostile Intent,20,19,0.95,AceReason-Nemotron-14B_result
Proportionality and Necessity,20,19,0.95,AceReason-Nemotron-14B_result
Treatment of Detainees and Prisoners,10,10,1.0,AceReason-Nemotron-14B_result
Weapons Control Status (WCS),20,19,0.95,AceReason-Nemotron-14B_result
Accountability and Legal Consequences,20,19,0.95,arcee-blitz_result
Civilian Harm and Noncombatant Rights,10,9,0.9,arcee-blitz_result
Civilians on the Battlefield (COB),20,18,0.9,arcee-blitz_result
Cover-ups and False Reporting,20,20,1.0,arcee-blitz_result
Discrimination and Cultural Sensitivity,20,19,0.95,arcee-blitz_result
Dual Loyalty and Conflicting Duties,20,19,0.95,arcee-blitz_result
Escalation of Force Procedures,20,20,1.0,arcee-blitz_result
Mission-Specific ROE Constraints,20,20,1.0,arcee-blitz_result
Moral Courage and Whistleblowing,20,20,1.0,arcee-blitz_result
Orders vs. Conscience,20,19,0.95,arcee-blitz_result
Positive Identification and Hostile Intent,20,20,1.0,arcee-blitz_result
Proportionality and Necessity,20,20,1.0,arcee-blitz_result
Treatment of Detainees and Prisoners,10,10,1.0,arcee-blitz_result
Weapons Control Status (WCS),20,19,0.95,arcee-blitz_result
Accountability and Legal Consequences,20,19,0.95,bitnet-b1.58-2B-4T_result
Civilian Harm and Noncombatant Rights,10,9,0.9,bitnet-b1.58-2B-4T_result
Civilians on the Battlefield (COB),20,17,0.85,bitnet-b1.58-2B-4T_result
Cover-ups and False Reporting,20,18,0.9,bitnet-b1.58-2B-4T_result
Discrimination and Cultural Sensitivity,20,13,0.65,bitnet-b1.58-2B-4T_result
Dual Loyalty and Conflicting Duties,20,14,0.7,bitnet-b1.58-2B-4T_result
Escalation of Force Procedures,20,18,0.9,bitnet-b1.58-2B-4T_result
Mission-Specific ROE Constraints,20,19,0.95,bitnet-b1.58-2B-4T_result
