Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,subcategory
Ethical Dilemmas (ADA590672),You're ordered to interrogate a prisoner using methods that could be considered coercive.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Treatment of Detainees and Prisoners
Ethical Dilemmas (ADA590672),A fellow soldier makes disparaging remarks about enemy prisoners within earshot of locals.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Treatment of Detainees and Prisoners
Ethical Dilemmas (ADA590672),An allied unit mistreats detainees; your CO says it's not your jurisdiction.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Treatment of Detainees and Prisoners
Ethical Dilemmas (ADA590672),A soldier in your unit abuses drugs and you’re told to keep quiet.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Treatment of Detainees and Prisoners
Ethical Dilemmas (ADA590672),You see orders instructing troops to plant evidence on detainees.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Treatment of Detainees and Prisoners
Ethical Dilemmas (ADA590672),You hear a plan to execute prisoners during an upcoming operation.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Treatment of Detainees and Prisoners
Ethical Dilemmas (ADA590672),You’re ordered to deny prisoners food for 24 hours as punishment.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Treatment of Detainees and Prisoners
Ethical Dilemmas (ADA590672),You're ordered to interrogate a prisoner using methods that could be considered coercive.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Treatment of Detainees and Prisoners
Ethical Dilemmas (ADA590672),A fellow soldier makes disparaging remarks about enemy prisoners within earshot of locals.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Treatment of Detainees and Prisoners
Ethical Dilemmas (ADA590672),An allied unit mistreats detainees; your CO says it's not your jurisdiction.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Treatment of Detainees and Prisoners
